id,title,source,provider_guess,provider_type,source_url,final_url,application_url,application_final_url,source_url_status,application_url_status,qualityScore,trustScore,reviewStatus,reason_needs_review,validation_notes,missing_fields,qualityFlags,suggested_action
vr-project-grant-for-planning-or-pilot-study-for-a-future-clinical-study-in-therapy,Project grant for planning or pilot study for a future clinical study in therapy research,Swedish Research Council,Swedish Research Council,government,https://www.vr.se/english/applying-for-funding/calls/2025-11-11-project-grant-for-planning-or-pilot-study-for-a-future-clinical-study-in-therapy-research.html,https://www.vr.se/english/applying-for-funding/calls/2025-11-11-project-grant-for-planning-or-pilot-study-for-a-future-clinical-study-in-therapy-research.html,https://www.vr.se/english/applying-for-funding/prisma.html,https://www.vr.se/english/applying-for-funding/prisma.html,ok:200,ok:200,83,75,needs_review,weak eligibility information,weak eligibility information,amount; documents,source_verified; application_url_verified; official_provider; missing_amount; missing_eligibility; missing_documents; has_application_instructions,manual review
si-we-dont-need-perfect-conditions-to-startjust-purpose-and-courage,“We don’t need perfect conditions to start—just purpose and courage”,Swedish Institute,Swedish Institute,government,https://si.se/en/we-dont-need-perfect-conditions-to-start-just-purpose-and-courage/,https://si.se/en/we-dont-need-perfect-conditions-to-start-just-purpose-and-courage/,,,ok:200,instructions_only,75,75,needs_review,missing deadline,missing deadline,amount; documents,source_verified; official_provider; missing_deadline; missing_amount; missing_documents; missing_application_url; has_application_instructions,confirm application path or instructions
si-i-want-to-foster-a-green-economic-diversification-of-ecuador,“I want to foster a green economic diversification of Ecuador”,Swedish Institute,Swedish Institute,government,https://si.se/en/i-want-to-foster-a-green-economic-diversification-of-ecuador/,https://si.se/en/i-want-to-foster-a-green-economic-diversification-of-ecuador/,,,ok:200,instructions_only,75,75,needs_review,missing deadline,missing deadline,amount; documents,source_verified; official_provider; missing_deadline; missing_amount; missing_documents; missing_application_url; has_application_instructions,confirm application path or instructions
lhm-anslag-till-sociala-ndaml-sljder,Anslag till sociala ändamål & slöjder,Lars Hiertas Minne,Lars Hiertas Minne,other,https://www.larshiertasminne.se/anslag/anslag-till-sociala-andamal-och-slojder,https://www.larshiertasminne.se/sv/anslag/anslag-till-sociala-andamal-och-slojder,https://www.larshiertasminne.se/sv/ansokan,https://www.larshiertasminne.se/sv/ansokan,ok:200,ok:200,75,65,needs_review,missing deadline,missing deadline,amount; eligibility; documents,source_verified; application_url_verified; official_provider; missing_deadline; missing_amount; missing_eligibility; missing_documents; has_application_instructions,check current application round
lhm-forskningsanslag-till-enskilda-forskare-och-organisationer,Forskningsanslag till enskilda forskare och organisationer,Lars Hiertas Minne,Lars Hiertas Minne,other,https://www.larshiertasminne.se/anslag/forskningsanslag-till-enskilda-forskare-och-organisationer,https://www.larshiertasminne.se/sv/anslag/forskningsanslag-till-enskilda-forskare-och-organisationer,https://www.larshiertasminne.se/sv/ansokan,https://www.larshiertasminne.se/sv/ansokan,ok:200,ok:200,75,65,needs_review,missing deadline,missing deadline,amount; eligibility; documents,source_verified; application_url_verified; official_provider; missing_deadline; missing_amount; missing_eligibility; missing_documents; has_application_instructions,check current application round
